Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
12:30:00,24.5,0.081,0.081,0.081,0.081,0.082,0.103,0.081,0.083,0.079,0.164,0.141,0.268,0.128,0.234,0.132,0.082,0.085,0.128,0.135,0.127,0.126,0.126,0.131,0.082,0.08,0.176,0.141,0.23,0.126,0.224,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.082,0.085,0.083,0.083,0.082,0.081,0.081,0.084
13:00:00,24.5,0.081,0.081,0.08,0.081,0.082,0.104,0.081,0.083,0.079,0.169,0.146,0.274,0.128,0.233,0.132,0.081,0.085,0.128,0.135,0.127,0.126,0.126,0.131,0.081,0.081,0.167,0.141,0.239,0.126,0.219,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
13:30:00,24.5,0.081,0.081,0.08,0.081,0.082,0.103,0.081,0.083,0.079,0.189,0.158,0.331,0.128,0.249,0.131,0.081,0.085,0.128,0.136,0.128,0.126,0.126,0.131,0.081,0.08,0.165,0.141,0.251,0.126,0.21,0.131,0.081,0.083,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.082,0.083,0.082,0.081,0.081,0.084
14:00:00,24.5,0.081,0.081,0.08,0.081,0.082,0.103,0.081,0.083,0.079,0.192,0.149,0.329,0.128,0.236,0.131,0.081,0.085,0.127,0.136,0.128,0.126,0.126,0.131,0.082,0.08,0.181,0.141,0.265,0.126,0.208,0.131,0.081,0.083,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.082,0.083,0.082,0.081,0.081,0.084
14:30:00,24.5,0.082,0.081,0.081,0.081,0.082,0.104,0.081,0.083,0.079,0.198,0.148,0.311,0.128,0.222,0.132,0.082,0.085,0.128,0.137,0.128,0.126,0.126,0.131,0.082,0.081,0.184,0.141,0.275,0.126,0.19,0.131,0.082,0.083,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
15:00:00,24.5,0.082,0.081,0.08,0.081,0.082,0.103,0.082,0.083,0.079,0.179,0.146,0.299,0.128,0.221,0.132,0.082,0.085,0.128,0.137,0.128,0.126,0.126,0.131,0.082,0.081,0.195,0.141,0.284,0.126,0.193,0.131,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.082,0.083,0.082,0.081,0.081,0.085
15:30:00,24.6,0.081,0.081,0.08,0.081,0.082,0.103,0.082,0.083,0.08,0.194,0.146,0.309,0.128,0.229,0.131,0.082,0.085,0.128,0.137,0.128,0.126,0.126,0.13,0.082,0.081,0.192,0.142,0.29,0.126,0.211,0.13,0.081,0.083,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
16:00:00,24.5,0.082,0.081,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.195,0.151,0.302,0.128,0.253,0.132,0.082,0.085,0.128,0.137,0.129,0.126,0.126,0.131,0.082,0.081,0.206,0.142,0.287,0.127,0.222,0.131,0.082,0.084,0.128,0.13,0.136,0.132,0.132,0.134,0.083,0.082,0.085,0.083,0.083,0.082,0.081,0.081,0.085
16:30:00,24.5,0.082,0.082,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.195,0.165,0.351,0.128,0.244,0.131,0.082,0.085,0.128,0.138,0.129,0.126,0.126,0.131,0.082,0.081,0.195,0.142,0.288,0.127,0.212,0.131,0.081,0.083,0.128,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
17:00:00,24.5,0.081,0.081,0.08,0.081,0.082,0.103,0.081,0.083,0.079,0.227,0.171,0.36,0.128,0.2,0.131,0.082,0.085,0.128,0.138,0.129,0.126,0.126,0.13,0.082,0.081,0.18,0.142,0.297,0.126,0.226,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
